Longitude,Latitude,avg_capacity_factor
142.25,-10.75,0.5142712
142.5,-10.75,0.5500482
130.5,-11.0,0.22524413
131.25,-11.0,0.25984642
142.0,-11.0,0.3971308
142.25,-11.0,0.32923928
142.5,-11.0,0.37265462
142.75,-11.0,0.53191936
130.25,-11.25,0.15745923
130.5,-11.25,0.14611594
130.75,-11.25,0.15883262
131.0,-11.25,0.1523464
131.25,-11.25,0.16114305
131.5,-11.25,0.19017117
132.75,-11.25,0.32722318
133.0,-11.25,0.37895602
141.75,-11.25,0.38965434
142.0,-11.25,0.32873738
142.25,-11.25,0.24336666
142.5,-11.25,0.2517162
142.75,-11.25,0.42601633
143.0,-11.25,0.56501335
130.0,-11.5,0.13442731
130.25,-11.5,0.102242686
130.5,-11.5,0.083491296
130.75,-11.5,0.09198306
131.0,-11.5,0.0929354
131.25,-11.5,0.10315273
131.5,-11.5,0.16411112
131.75,-11.5,0.21439855
132.5,-11.5,0.16264854
132.75,-11.5,0.20302247
133.0,-11.5,0.25054333
133.25,-11.5,0.334116
133.5,-11.5,0.37242833
133.75,-11.5,0.41082942
141.75,-11.5,0.3544744
142.0,-11.5,0.2812957
142.25,-11.5,0.21939181
142.5,-11.5,0.22567928
142.75,-11.5,0.386154
143.0,-11.5,0.5348337
130.25,-11.75,0.09712182
130.5,-11.75,0.08692212
130.75,-11.75,0.09485871
131.0,-11.75,0.105195604
131.25,-11.75,0.14357752
131.5,-11.75,0.20555693
132.25,-11.75,0.21336797
132.5,-11.75,0.17912893
132.75,-11.75,0.12550688
133.0,-11.75,0.12835407
133.25,-11.75,0.20862399
133.5,-11.75,0.24676634
133.75,-11.75,0.2873838
134.0,-11.75,0.35259387
134.25,-11.75,0.39051384
134.5,-11.75,0.4171985
134.75,-11.75,0.42174837
135.5,-11.75,0.41598925
141.75,-11.75,0.31252262
142.0,-11.75,0.23034607
142.25,-11.75,0.19551447
142.5,-11.75,0.213569
142.75,-11.75,0.3555327
143.0,-11.75,0.51218003
130.5,-12.0,0.152079
131.0,-12.0,0.14843991
131.25,-12.0,0.18405426
131.5,-12.0,0.22006966
131.75,-12.0,0.23432973
132.0,-12.0,0.2327244
132.25,-12.0,0.2213312
132.5,-12.0,0.16902368
132.75,-12.0,0.105837844
133.0,-12.0,0.09740258
133.25,-12.0,0.116312094
133.5,-12.0,0.12934397
133.75,-12.0,0.14725357
134.0,-12.0,0.20784406
134.25,-12.0,0.25579336
134.5,-12.0,0.29337108
134.75,-12.0,0.3053501
135.0,-12.0,0.31940344
135.25,-12.0,0.31473425
135.5,-12.0,0.31123775
135.75,-12.0,0.3128103
136.0,-12.0,0.31757376
136.25,-12.0,0.29318798
136.5,-12.0,0.2709183
141.75,-12.0,0.25306332
142.0,-12.0,0.18849057
142.25,-12.0,0.18589324
142.5,-12.0,0.18832675
142.75,-12.0,0.24706486
143.0,-12.0,0.4159322
143.25,-12.0,0.5554593
130.5,-12.25,0.16498005
130.75,-12.25,0.14307907
131.0,-12.25,0.116074175
131.25,-12.25,0.12992238
131.5,-12.25,0.16448775
131.75,-12.25,0.18418555
132.0,-12.25,0.17992954
132.25,-12.25,0.1536632
132.5,-12.25,0.10299755
132.75,-12.25,0.08449861
133.0,-12.25,0.096445
133.25,-12.25,0.10664691
133.5,-12.25,0.12033081
133.75,-12.25,0.12418363
134.0,-12.25,0.12083505
134.25,-12.25,0.1256035
134.5,-12.25,0.13218045
134.75,-12.25,0.14095543
135.0,-12.25,0.15204933
135.25,-12.25,0.15609728
135.5,-12.25,0.15629373
135.75,-12.25,0.16522136
136.0,-12.25,0.18363355
136.25,-12.25,0.16993526
136.5,-12.25,0.14551426
136.75,-12.25,0.18746455
141.5,-12.25,0.25550404
141.75,-12.25,0.17752324
142.0,-12.25,0.15476571
142.25,-12.25,0.16165769
142.5,-12.25,0.17136942
142.75,-12.25,0.20848493
143.0,-12.25,0.32467377
143.25,-12.25,0.492208
130.25,-12.5,0.15564844
130.5,-12.5,0.13266394
130.75,-12.5,0.095398076
131.0,-12.5,0.07533763
131.25,-12.5,0.07396415
131.5,-12.5,0.07969139
131.75,-12.5,0.08555665
132.0,-12.5,0.089858726
132.25,-12.5,0.088811755
132.5,-12.5,0.080187656
132.75,-12.5,0.081341356
133.0,-12.5,0.09840398
133.25,-12.5,0.120754845
133.5,-12.5,0.14773272
133.75,-12.5,0.14955164
134.0,-12.5,0.13142814
134.25,-12.5,0.11823366
134.5,-12.5,0.115439035
134.75,-12.5,0.1120013
135.0,-12.5,0.110952444
135.25,-12.5,0.11805301
135.5,-12.5,0.121054724
135.75,-12.5,0.11800946
136.0,-12.5,0.12130823
136.25,-12.5,0.118485145
136.5,-12.5,0.124850094
136.75,-12.5,0.1828501
137.0,-12.5,0.2800725
141.5,-12.5,0.28145444
141.75,-12.5,0.19053853
142.0,-12.5,0.15070412
142.25,-12.5,0.1421633
142.5,-12.5,0.15666682
142.75,-12.5,0.17219748
143.0,-12.5,0.21888386
143.25,-12.5,0.3687033
143.5,-12.5,0.5313931
130.0,-12.75,0.15760346
130.25,-12.75,0.12593426
130.5,-12.75,0.091442466
130.75,-12.75,0.074010186
131.0,-12.75,0.073470004
131.25,-12.75,0.07122571
131.5,-12.75,0.07262528
131.75,-12.75,0.07803076
132.0,-12.75,0.0815264
132.25,-12.75,0.08040449
132.5,-12.75,0.08042066
132.75,-12.75,0.08975076
133.0,-12.75,0.11417581
133.25,-12.75,0.14479156
133.5,-12.75,0.16914481
133.75,-12.75,0.1687319
134.0,-12.75,0.15527387
134.25,-12.75,0.14542948
134.5,-12.75,0.13885088
134.75,-12.75,0.11909633
135.0,-12.75,0.10990508
135.25,-12.75,0.12031948
135.5,-12.75,0.124830626
135.75,-12.75,0.11482149
136.0,-12.75,0.098906815
136.25,-12.75,0.100756876
136.5,-12.75,0.15167777
136.75,-12.75,0.24988736
141.5,-12.75,0.30718917
141.75,-12.75,0.22401528
142.0,-12.75,0.1642951
142.25,-12.75,0.14570512
142.5,-12.75,0.15460256
142.75,-12.75,0.17520995
143.0,-12.75,0.21096197
143.25,-12.75,0.30939013
143.5,-12.75,0.46770063
130.0,-13.0,0.14798589
130.25,-13.0,0.10399284
130.5,-13.0,0.07392615
130.75,-13.0,0.076495565
131.0,-13.0,0.078721344
131.25,-13.0,0.077053554
131.5,-13.0,0.08097267
131.75,-13.0,0.08766887
132.0,-13.0,0.091415875
132.25,-13.0,0.08441171
132.5,-13.0,0.086393945
132.75,-13.0,0.099927485
133.0,-13.0,0.13887061
133.25,-13.0,0.17349805
133.5,-13.0,0.18300755
133.75,-13.0,0.17496748
134.0,-13.0,0.15065771
134.25,-13.0,0.13818058
134.5,-13.0,0.12556149
134.75,-13.0,0.112350054
135.0,-13.0,0.10960536
135.25,-13.0,0.12360398
135.5,-13.0,0.1160995
135.75,-13.0,0.10498745
136.0,-13.0,0.100237146
136.25,-13.0,0.11870205
136.5,-13.0,0.17522475
136.75,-13.0,0.26315317
141.25,-13.0,0.30677688
141.5,-13.0,0.26605642
141.75,-13.0,0.1828286
142.0,-13.0,0.15483756
142.25,-13.0,0.14964157
142.5,-13.0,0.15654707
142.75,-13.0,0.1783539
143.0,-13.0,0.18863893
143.25,-13.0,0.24190366
143.5,-13.0,0.34502992
143.75,-13.0,0.5071985
130.0,-13.25,0.15357012
130.25,-13.25,0.11676333
130.5,-13.25,0.084140286
130.75,-13.25,0.08731482
131.0,-13.25,0.08707664
131.25,-13.25,0.087014385
131.5,-13.25,0.09240691
131.75,-13.25,0.100853115
132.0,-13.25,0.098568514
132.25,-13.25,0.096275434
132.5,-13.25,0.104706466
132.75,-13.25,0.12404033
133.0,-13.25,0.17417328
133.25,-13.25,0.19090463
133.5,-13.25,0.18876965
133.75,-13.25,0.15547755
134.0,-13.25,0.13440655
134.25,-13.25,0.12203394
134.5,-13.25,0.11404786
134.75,-13.25,0.11779826
135.0,-13.25,0.11976543
135.25,-13.25,0.12722343
135.5,-13.25,0.10491598
135.75,-13.25,0.102985755
136.0,-13.25,0.1624606
136.25,-13.25,0.19751316
136.5,-13.25,0.22354153
141.25,-13.25,0.29799742
141.5,-13.25,0.23874146
141.75,-13.25,0.15867291
142.0,-13.25,0.14550763
142.25,-13.25,0.15474643
142.5,-13.25,0.15947823
142.75,-13.25,0.17862888
143.0,-13.25,0.18710011
143.25,-13.25,0.1871583
143.5,-13.25,0.26605687
143.75,-13.25,0.4966923
129.75,-13.5,0.17265548
130.0,-13.5,0.1299305
130.25,-13.5,0.108122654
130.5,-13.5,0.09271715
130.75,-13.5,0.095932275
131.0,-13.5,0.099498115
131.25,-13.5,0.09661199
131.5,-13.5,0.106181234
131.75,-13.5,0.111559644
132.0,-13.5,0.11167631
132.25,-13.5,0.11636671
132.5,-13.5,0.13060568
132.75,-13.5,0.13646686
133.0,-13.5,0.17916882
133.25,-13.5,0.19106483
133.5,-13.5,0.16468066
133.75,-13.5,0.13838033
134.0,-13.5,0.12438525
134.25,-13.5,0.11485267
134.5,-13.5,0.12133068
134.75,-13.5,0.13314085
135.0,-13.5,0.12959981
135.25,-13.5,0.12155718
135.5,-13.5,0.10209835
135.75,-13.5,0.10769401
136.0,-13.5,0.1717138
136.25,-13.5,0.24646793
141.25,-13.5,0.2874503
141.5,-13.5,0.22630231
141.75,-13.5,0.14788756
142.0,-13.5,0.14096223
142.25,-13.5,0.14865628
142.5,-13.5,0.15410547
142.75,-13.5,0.16916028
143.0,-13.5,0.18616576
143.25,-13.5,0.18426473
143.5,-13.5,0.24696636
143.75,-13.5,0.47850585
126.75,-13.75,0.1878398
127.0,-13.75,0.18063544
127.25,-13.75,0.19165723
127.5,-13.75,0.22531864
129.5,-13.75,0.19222829
129.75,-13.75,0.13749988
130.0,-13.75,0.09720353
130.25,-13.75,0.093987405
130.5,-13.75,0.10109179
130.75,-13.75,0.10608155
131.0,-13.75,0.10236309
131.25,-13.75,0.10613663
131.5,-13.75,0.117415264
131.75,-13.75,0.12674442
132.0,-13.75,0.12859708
132.25,-13.75,0.13959686
132.5,-13.75,0.15010288
132.75,-13.75,0.14138874
133.0,-13.75,0.17372453
133.25,-13.75,0.17406894
133.5,-13.75,0.15216807
133.75,-13.75,0.13540447
134.0,-13.75,0.12282007
134.25,-13.75,0.124220446
134.5,-13.75,0.13438578
134.75,-13.75,0.14404066
135.0,-13.75,0.12944302
135.25,-13.75,0.11371641
135.5,-13.75,0.10337468
135.75,-13.75,0.110040456
136.0,-13.75,0.17618065
141.25,-13.75,0.27815804
141.5,-13.75,0.21792175
141.75,-13.75,0.13668723
142.0,-13.75,0.13118075
142.25,-13.75,0.14189339
142.5,-13.75,0.14450535
142.75,-13.75,0.16132055
143.0,-13.75,0.17465961
143.25,-13.75,0.15190041
143.5,-13.75,0.1989322
143.75,-13.75,0.43469095
126.25,-14.0,0.17591888
126.5,-14.0,0.15995999
126.75,-14.0,0.1384984
127.0,-14.0,0.13213214
127.25,-14.0,0.1607862
127.5,-14.0,0.20026599
127.75,-14.0,0.23179568
129.5,-14.0,0.16712177
129.75,-14.0,0.11567043
130.0,-14.0,0.0893784
130.25,-14.0,0.095238246
130.5,-14.0,0.10957287
130.75,-14.0,0.10939966
131.0,-14.0,0.10730128
131.25,-14.0,0.10833657
131.5,-14.0,0.12268844
131.75,-14.0,0.13213986
132.0,-14.0,0.13736732
132.25,-14.0,0.15603043
132.5,-14.0,0.16874756
132.75,-14.0,0.15020058
133.0,-14.0,0.17235406
133.25,-14.0,0.17248073
133.5,-14.0,0.14444375
133.75,-14.0,0.13233176
134.0,-14.0,0.1348025
134.25,-14.0,0.13860177
134.5,-14.0,0.14764892
134.75,-14.0,0.15232095
135.0,-14.0,0.12468389
135.25,-14.0,0.10518776
135.5,-14.0,0.103982136
135.75,-14.0,0.14365867
136.0,-14.0,0.21301776
136.25,-14.0,0.23277417
141.25,-14.0,0.27616557
141.5,-14.0,0.21306112
141.75,-14.0,0.12911314
142.0,-14.0,0.12732778
142.25,-14.0,0.13697976
142.5,-14.0,0.15093313
142.75,-14.0,0.16471916
143.0,-14.0,0.17397381
143.25,-14.0,0.14416221
143.5,-14.0,0.14529793
143.75,-14.0,0.35589507
144.0,-14.0,0.51104003
