Longitude,Latitude,avg_solar_radiation
142.25,-10.75,480.22794
142.5,-10.75,475.25894
130.5,-11.0,497.07712
131.25,-11.0,502.09763
142.0,-11.0,476.81665
142.25,-11.0,478.09567
142.5,-11.0,472.8029
142.75,-11.0,466.41663
130.25,-11.25,489.52432
130.5,-11.25,485.97366
130.75,-11.25,482.89288
131.0,-11.25,490.14908
131.25,-11.25,502.90063
131.5,-11.25,506.24347
132.75,-11.25,488.67767
133.0,-11.25,489.57892
141.75,-11.25,474.76187
142.0,-11.25,466.27344
142.25,-11.25,467.21436
142.5,-11.25,464.2548
142.75,-11.25,458.25482
143.0,-11.25,460.71536
130.0,-11.5,491.6306
130.25,-11.5,483.81622
130.5,-11.5,478.73813
130.75,-11.5,475.04236
131.0,-11.5,486.70135
131.25,-11.5,500.33658
131.5,-11.5,507.7128
131.75,-11.5,507.722
132.5,-11.5,490.95383
132.75,-11.5,484.7638
133.0,-11.5,486.49368
133.25,-11.5,493.0398
133.5,-11.5,500.365
133.75,-11.5,502.55826
141.75,-11.5,468.11734
142.0,-11.5,455.90634
142.25,-11.5,454.69913
142.5,-11.5,451.85965
142.75,-11.5,450.6931
143.0,-11.5,453.18875
130.25,-11.75,486.0655
130.5,-11.75,479.33423
130.75,-11.75,477.2397
131.0,-11.75,488.13184
131.25,-11.75,498.38586
131.5,-11.75,506.67374
132.25,-11.75,497.53625
132.5,-11.75,488.39697
132.75,-11.75,483.7285
133.0,-11.75,484.95145
133.25,-11.75,490.22888
133.5,-11.75,496.1216
133.75,-11.75,498.56027
134.0,-11.75,494.42044
134.25,-11.75,491.2265
134.5,-11.75,489.0778
134.75,-11.75,486.7462
135.5,-11.75,478.62552
141.75,-11.75,462.14987
142.0,-11.75,447.09692
142.25,-11.75,445.21802
142.5,-11.75,443.6092
142.75,-11.75,442.75223
143.0,-11.75,451.49332
130.5,-12.0,488.07687
131.0,-12.0,491.39737
131.25,-12.0,501.66934
131.5,-12.0,506.3883
131.75,-12.0,508.24646
132.0,-12.0,505.0241
132.25,-12.0,498.70456
132.5,-12.0,489.88025
132.75,-12.0,483.0351
133.0,-12.0,482.90634
133.25,-12.0,485.96964
133.5,-12.0,489.60107
133.75,-12.0,487.51578
134.0,-12.0,482.7426
134.25,-12.0,478.69104
134.5,-12.0,476.5223
134.75,-12.0,475.17462
135.0,-12.0,473.24103
135.25,-12.0,469.05905
135.5,-12.0,464.44647
135.75,-12.0,458.93408
136.0,-12.0,451.1111
136.25,-12.0,447.035
136.5,-12.0,450.93982
141.75,-12.0,458.13373
142.0,-12.0,442.77036
142.25,-12.0,438.7296
142.5,-12.0,438.30087
142.75,-12.0,443.3722
143.0,-12.0,452.54498
143.25,-12.0,465.4329
130.5,-12.25,498.5539
130.75,-12.25,495.71088
131.0,-12.25,499.71332
131.25,-12.25,503.26416
131.5,-12.25,506.19836
131.75,-12.25,507.08286
132.0,-12.25,504.7521
132.25,-12.25,500.30292
132.5,-12.25,493.22302
132.75,-12.25,484.90692
133.0,-12.25,480.73785
133.25,-12.25,479.66635
133.5,-12.25,479.20374
133.75,-12.25,476.92868
134.0,-12.25,472.953
134.25,-12.25,469.6846
134.5,-12.25,468.70517
134.75,-12.25,468.2803
135.0,-12.25,463.85635
135.25,-12.25,458.12198
135.5,-12.25,454.36398
135.75,-12.25,445.11307
136.0,-12.25,434.36047
136.25,-12.25,430.71567
136.5,-12.25,437.61777
136.75,-12.25,452.46436
141.5,-12.25,477.16733
141.75,-12.25,457.6087
142.0,-12.25,440.9858
142.25,-12.25,435.64066
142.5,-12.25,436.20715
142.75,-12.25,442.9869
143.0,-12.25,452.11646
143.25,-12.25,464.0681
130.25,-12.5,502.12518
130.5,-12.5,496.24936
130.75,-12.5,493.49905
131.0,-12.5,497.8793
131.25,-12.5,502.3395
131.5,-12.5,505.75204
131.75,-12.5,506.997
132.0,-12.5,505.70502
132.25,-12.5,502.1759
132.5,-12.5,496.0799
132.75,-12.5,489.64325
133.0,-12.5,484.01608
133.25,-12.5,481.1503
133.5,-12.5,479.11777
133.75,-12.5,476.15146
134.0,-12.5,472.38538
134.25,-12.5,469.57358
134.5,-12.5,467.71515
134.75,-12.5,466.45853
135.0,-12.5,463.74512
135.25,-12.5,458.0449
135.5,-12.5,451.35208
135.75,-12.5,444.04764
136.0,-12.5,434.7889
136.25,-12.5,431.22006
136.5,-12.5,439.13318
136.75,-12.5,455.42514
137.0,-12.5,471.89252
141.5,-12.5,478.59692
141.75,-12.5,458.60178
142.0,-12.5,441.92416
142.25,-12.5,437.1055
142.5,-12.5,437.89752
142.75,-12.5,442.40244
143.0,-12.5,449.44174
143.25,-12.5,456.5597
143.5,-12.5,461.38638
130.0,-12.75,501.44464
130.25,-12.75,496.21622
130.5,-12.75,491.77707
130.75,-12.75,486.9357
131.0,-12.75,488.5263
131.25,-12.75,494.1086
131.5,-12.75,498.93994
131.75,-12.75,501.09982
132.0,-12.75,500.6942
132.25,-12.75,498.42047
132.5,-12.75,496.71567
132.75,-12.75,493.62222
133.0,-12.75,489.72485
133.25,-12.75,487.36862
