Latitude,Longitude,min_distance_nature_land_km
-10.75,142.25,15.0
-10.75,142.5,8.0
-11.0,130.5,125.8
-11.0,131.25,66.1
-11.0,142.0,41.2
-11.0,142.25,13.8
-11.0,142.5,0.0
-11.0,142.75,0.4
-11.25,130.25,119.5
-11.25,130.5,102.2
-11.25,130.75,90.0
-11.25,131.0,82.6
-11.25,131.25,57.7
-11.25,131.5,30.3
-11.25,132.75,20.4
-11.25,133.0,40.9
-11.25,141.75,68.5
-11.25,142.0,41.1
-11.25,142.25,14.9
-11.25,142.5,0.0
-11.25,142.75,0.0
-11.25,143.0,19.1
-11.5,130.0,124.9
-11.5,130.25,101.4
-11.5,130.5,80.7
-11.5,130.75,65.0
-11.5,131.0,56.1
-11.5,131.25,56.0
-11.5,131.5,35.0
-11.5,131.75,19.0
-11.5,132.5,0.0
-11.5,132.75,10.2
-11.5,133.0,36.8
-11.5,133.25,64.4
-11.5,133.5,92.1
-11.5,133.75,120.0
-11.5,141.75,73.8
-11.5,142.0,46.5
-11.5,142.25,19.3
-11.5,142.5,0.0
-11.5,142.75,0.0
-11.5,143.0,17.8
-11.75,130.25,88.0
-11.75,130.5,63.1
-11.75,130.75,42.0
-11.75,131.0,29.8
-11.75,131.25,30.4
-11.75,131.5,38.7
-11.75,132.25,16.4
-11.75,132.5,13.8
-11.75,132.75,27.3
-11.75,133.0,46.5
-11.75,133.25,67.0
-11.75,133.5,84.6
-11.75,133.75,106.4
-11.75,134.0,130.3
-11.75,134.25,155.4
-11.75,134.5,181.0
-11.75,134.75,207.1
-11.75,135.5,287.3
-11.75,141.75,79.7
-11.75,142.0,52.4
-11.75,142.25,25.3
-11.75,142.5,0.0
-11.75,142.75,4.8
-11.75,143.0,16.0
-12.0,130.5,54.1
-12.0,131.0,4.1
-12.0,131.25,6.6
-12.0,131.5,22.1
-12.0,131.75,27.1
-12.0,132.0,26.3
-12.0,132.25,13.2
-12.0,132.5,11.2
-12.0,132.75,14.2
-12.0,133.0,29.7
-12.0,133.25,45.8
-12.0,133.5,68.5
-12.0,133.75,93.6
-12.0,134.0,119.4
-12.0,134.25,145.9
-12.0,134.5,172.8
-12.0,134.75,200.0
-12.0,135.0,227.2
-12.0,135.25,254.6
-12.0,135.5,282.0
-12.0,135.75,309.3
-12.0,136.0,336.6
-12.0,136.25,364.0
-12.0,136.5,385.1
-12.0,141.75,85.5
-12.0,142.0,58.4
-12.0,142.25,32.0
-12.0,142.5,13.6
-12.0,142.75,21.2
-12.0,143.0,34.7
-12.0,143.25,53.3
-12.25,130.5,33.5
-12.25,130.75,15.3
-12.25,131.0,3.5
-12.25,131.25,2.2
-12.25,131.5,7.5
-12.25,131.75,2.6
-12.25,132.0,3.9
-12.25,132.25,0.0
-12.25,132.5,0.0
-12.25,132.75,0.0
-12.25,133.0,7.1
-12.25,133.25,31.9
-12.25,133.5,58.7
-12.25,133.75,86.0
-12.25,134.0,113.5
-12.25,134.25,140.7
-12.25,134.5,168.0
-12.25,134.75,195.4
-12.25,135.0,222.9
-12.25,135.25,250.4
-12.25,135.5,278.0
-12.25,135.75,305.5
-12.25,136.0,333.1
-12.25,136.25,360.7
-12.25,136.5,358.1
-12.25,136.75,356.0
-12.25,141.5,119.4
-12.25,141.75,93.8
-12.25,142.0,69.8
-12.25,142.25,50.0
-12.25,142.5,40.7
-12.25,142.75,46.5
-12.25,143.0,38.8
-12.25,143.25,26.9
-12.5,130.25,27.4
-12.5,130.5,6.5
-12.5,130.75,12.6
-12.5,131.0,7.6
-12.5,131.25,4.0
-12.5,131.5,1.7
-12.5,131.75,0.2
-12.5,132.0,0.0
-12.5,132.25,0.0
-12.5,132.5,0.0
-12.5,132.75,0.0
-12.5,133.0,0.1
-12.5,133.25,27.7
-12.5,133.5,55.3
-12.5,133.75,82.9
-12.5,134.0,110.6
-12.5,134.25,138.3
-12.5,134.5,165.9
-12.5,134.75,193.6
-12.5,135.0,221.2
-12.5,135.25,248.9
-12.5,135.5,276.5
-12.5,135.75,304.2
-12.5,136.0,331.9
-12.5,136.25,335.6
-12.5,136.5,331.1
-12.5,136.75,328.8
-12.5,137.0,328.8
-12.5,141.5,114.6
-12.5,141.75,100.8
-12.5,142.0,88.4
-12.5,142.25,73.8
-12.5,142.5,67.9
-12.5,142.75,48.5
-12.5,143.0,21.6
-12.5,143.25,1.0
-12.5,143.5,15.4
-12.75,130.0,55.5
-12.75,130.25,29.5
-12.75,130.5,5.8
-12.75,130.75,20.4
-12.75,131.0,3.7
-12.75,131.25,13.9
-12.75,131.5,0.0
-12.75,131.75,0.0
-12.75,132.0,0.0
-12.75,132.25,0.0
-12.75,132.5,0.0
-12.75,132.75,0.0
-12.75,133.0,0.1
-12.75,133.25,27.7
-12.75,133.5,55.3
-12.75,133.75,82.9
-12.75,134.0,110.5
-12.75,134.25,138.1
-12.75,134.5,165.7
-12.75,134.75,193.3
-12.75,135.0,220.9
-12.75,135.25,248.5
-12.75,135.5,276.1
-12.75,135.75,303.7
-12.75,136.0,316.1
-12.75,136.25,309.0
-12.75,136.5,304.2
-12.75,136.75,301.7
-12.75,141.5,93.6
-12.75,141.75,76.8
-12.75,142.0,64.9
-12.75,142.25,54.6
-12.75,142.5,51.7
-12.75,142.75,48.0
-12.75,143.0,20.6
-12.75,143.25,0.0
-12.75,143.5,11.6
-13.0,130.0,66.4
-13.0,130.25,44.4
-13.0,130.5,19.0
-13.0,130.75,3.0
-13.0,131.0,9.4
-13.0,131.25,12.4
-13.0,131.5,16.5
-13.0,131.75,0.0
-13.0,132.0,8.2
-13.0,132.25,0.0
-13.0,132.5,0.0
-13.0,132.75,0.0
-13.0,133.0,0.1
-13.0,133.25,27.7
-13.0,133.5,55.2
-13.0,133.75,82.8
-13.0,134.0,110.3
-13.0,134.25,137.9
-13.0,134.5,165.4
-13.0,134.75,193.0
-13.0,135.0,220.5
-13.0,135.25,248.1
-13.0,135.5,275.6
-13.0,135.75,300.2
-13.0,136.0,290.2
-13.0,136.25,282.5
-13.0,136.5,277.2
-13.0,136.75,274.5
-13.0,141.25,101.2
-13.0,141.5,76.6
-13.0,141.75,54.9
-13.0,142.0,39.8
-13.0,142.25,30.7
-13.0,142.5,25.2
-13.0,142.75,37.9
-13.0,143.0,29.5
-13.0,143.25,13.9
-13.0,143.5,27.1
-13.0,143.75,50.1
-13.25,130.0,72.9
-13.25,130.25,45.9
-13.25,130.5,19.9
-13.25,130.75,0.0
-13.25,131.0,0.0
-13.25,131.25,16.7
-13.25,131.5,20.0
-13.25,131.75,0.2
-13.25,132.0,0.0
-13.25,132.25,0.0
-13.25,132.5,0.0
-13.25,132.75,0.0
-13.25,133.0,0.1
-13.25,133.25,27.6
-13.25,133.5,55.1
-13.25,133.75,82.6
-13.25,134.0,110.1
-13.25,134.25,137.6
-13.25,134.5,165.1
-13.25,134.75,192.6
-13.25,135.0,220.1
-13.25,135.25,247.6
-13.25,135.5,275.1
-13.25,135.75,275.5
-13.25,136.0,264.6
-13.25,136.25,256.1
-13.25,136.5,250.3
-13.25,141.25,92.5
-13.25,141.5,66.6
-13.25,141.75,40.0
-13.25,142.0,16.2
-13.25,142.25,6.0
-13.25,142.5,0.0
-13.25,142.75,20.0
-13.25,143.0,21.4
-13.25,143.25,33.9
-13.25,143.5,41.6
-13.25,143.75,61.0
-13.5,129.75,106.6
-13.5,130.0,80.9
-13.5,130.25,55.2
-13.5,130.5,29.8
-13.5,130.75,6.1
-13.5,131.0,6.3
-13.5,131.25,26.7
-13.5,131.5,26.7
-13.5,131.75,25.4
-13.5,132.0,2.9
-13.5,132.25,0.0
-13.5,132.5,0.0
-13.5,132.75,0.0
-13.5,133.0,0.1
-13.5,133.25,27.6
-13.5,133.5,55.0
-13.5,133.75,82.5
-13.5,134.0,109.9
-13.5,134.25,137.4
-13.5,134.5,164.8
-13.5,134.75,192.2
-13.5,135.0,219.7
-13.5,135.25,247.1
-13.5,135.5,265.5
-13.5,135.75,251.3
-13.5,136.0,239.3
-13.5,136.25,229.9
-13.5,141.25,81.1
-13.5,141.5,55.3
