Latitude,Longitude,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation
-10.75,142.5,0.0563961921126714,597.4,0.5500482,475.25894,3,44,100,55
-11.0,142.25,0.060104789424111,589.0,0.32923928,478.09567,3,41,58,52
-11.0,142.5,0.0548407893716579,574.1,0.37265462,472.8029,3,45,75,57
-11.25,131.25,0.0180665558442429,126.9,0.16114305,502.90063,51,85,12,25
-11.25,142.25,0.0533907411886113,566.6,0.24336666,467.21436,4,47,25,61
-11.25,142.5,0.0526182097127838,551.1,0.2517162,464.2548,4,48,27,63
-11.25,142.75,0.0475561281400067,536.6,0.42601633,458.25482,5,54,89,68
-11.5,130.25,0.009766092945245,107.5,0.102242686,483.81622,55,93,3,47
-11.5,130.5,0.0094729613145491,100.0,0.083491296,478.73813,57,93,2,52
-11.5,130.75,0.0118061133482981,95.3,0.09198306,475.04236,58,91,3,55
-11.5,131.0,0.0165993983607872,94.4,0.0929354,486.70135,59,87,3,45
-11.5,131.25,0.012261237909219,101.5,0.10315273,500.33658,57,91,3,29
-11.5,132.5,0.0244357420949243,175.7,0.16264854,490.95383,42,79,12,40
-11.5,132.75,0.0270500148785123,193.8,0.20302247,484.7638,39,77,18,46
-11.5,133.0,0.0251821797596113,213.5,0.25054333,486.49368,36,79,26,45
-11.5,142.25,0.052971928328805,544.7,0.21939181,454.69913,5,47,21,71
-11.5,142.5,0.0511782932427844,528.5,0.22567928,451.85965,5,50,22,73
-11.5,142.75,0.0447520036616229,513.4,0.386154,450.6931,6,58,79,74
-11.75,130.25,0.0017763764675085,83.2,0.09712182,486.0655,61,99,3,45
-11.75,130.5,0.0025627819627212,73.3,0.08692212,479.33423,64,98,2,51
-11.75,130.75,0.0101947373000993,68.8,0.09485871,477.2397,65,92,3,53
-11.75,131.0,0.013799616715516,67.6,0.105195604,488.13184,65,89,4,43
-11.75,132.75,0.0308749361141097,174.7,0.12550688,483.7285,42,73,6,47
-11.75,133.0,0.0314084759138668,195.5,0.12835407,484.95145,39,73,6,46
-11.75,133.25,0.0249920147651296,217.4,0.20862399,490.22888,35,79,19,41
-11.75,142.25,0.0506374051617014,523.1,0.19551447,445.21802,6,50,17,77
-11.75,142.5,0.0508640819118313,506.4,0.213569,443.6092,6,50,20,78
-11.75,142.75,0.045129367465242,490.6,0.3555327,442.75223,7,57,70,79
-12.0,132.75,0.0343220750795721,156.8,0.105837844,483.0351,45,70,4,48
-12.0,133.0,0.0371528974102277,179.2,0.09740258,482.90634,41,67,3,48
-12.0,133.25,0.0264677455895469,202.8,0.116312094,485.96964,37,77,5,45
-12.0,133.5,0.0160720837177775,227.4,0.12934397,489.60107,33,87,6,42
-12.0,133.75,0.0106899982750681,252.6,0.14725357,487.51578,30,92,9,44
-12.0,134.0,0.0110717791692531,278.3,0.20784406,482.7426,26,92,19,48
-12.0,135.75,-0.0037065899429199,402.3,0.3128103,458.93408,13,97,47,67
-12.0,136.5,-0.0197925397461014,465.3,0.2709183,450.93982,9,83,31,74
-12.0,142.0,0.0528775826856006,520.4,0.18849057,442.77036,6,48,16,79
-12.0,142.25,0.051983283065714,502.1,0.18589324,438.7296,7,49,16,81
-12.0,142.5,0.0516564942430704,484.7,0.18832675,438.30087,8,49,16,81
-12.0,142.75,0.0471778180516724,468.2,0.24706486,443.3722,9,55,26,78
-12.0,143.0,0.0382096205594106,452.7,0.4159322,452.54498,10,65,87,72
-12.25,131.25,0.0223843555024359,36.8,0.12992238,503.26416,75,81,6,25
-12.25,132.25,0.0387379692423911,97.2,0.1536632,500.30292,58,65,10,29
-12.25,132.5,0.0346808278988603,118.2,0.10299755,493.22302,53,69,3,38
