Longitude,Latitude,min_distance_to_grid_km
145.71114863546643,-35.734271978147845,5.2
149.1420491961863,-33.59431006396285,7.2
150.84587934519158,-34.08337201910814,4.6
143.5897058324757,-31.850674926384965,122.7
151.24959562422887,-33.690094766490105,4.5
143.59519328555032,-38.45193519013883,8.0
145.69342951373957,-23.113672283231,47.4
138.51142978759538,-33.286385109617264,16.0
137.7511789858471,-32.591112508839295,3.4
124.97778695328223,-17.791320162162712,383.8
115.6991723469954,-31.1915704449735,8.7
116.18544828674068,-30.4980507546581,15.5
115.8699462466962,-31.997775101655197,0.0
147.30576183428914,-41.36063399437999,2.1
132.41501628522408,-21.4898034358448,193.9
151.10311449473116,-33.88383054732157,0.4
145.4828692709286,-31.867983957303803,51.1
151.08958311542114,-33.583887987301566,2.5
146.30203657212,-34.53235499444639,4.2
151.20289768041448,-33.889250713228954,0.1
145.19000471311796,-38.005623769177134,1.0
144.05755722879329,-37.31693170752224,1.6
145.2651883903961,-37.80484049386265,0.3
145.00162315293295,-37.13750755270284,6.2
152.46368216222248,-26.14700199147744,1.5
142.1125857997308,-12.515698347127154,471.5
151.88579952149857,-28.40543403838803,1.5
138.83633561464816,-34.89271406445698,4.8
140.0255201827343,-36.64349321289804,19.0
135.5969535904971,-34.412148151632195,26.2
115.76650026179595,-32.05740688680137,0.0
119.18479740283308,-32.42729929858501,20.5
118.3111429420482,-30.62993234700999,89.3
115.98941747085792,-32.62364747364136,0.1
119.34199500335303,-30.95733119508928,27.1
151.114515948312,-33.85351088423814,0.3
151.08633192701618,-33.971236679391296,0.5
147.1717846997073,-35.750281290650705,6.3
147.6688583403405,-34.81724668532773,2.1
151.05132140631508,-34.07501076598464,4.7
142.2429064436144,-33.57019214358511,8.9
148.2917145488202,-37.37800402068872,39.4
143.37506817535933,-37.31642490184997,8.4
140.57435710751113,-35.393905024522205,66.4
116.19101179791856,-34.00377049482784,1.0
115.78643053945888,-31.936243409652327,0.4
116.29976599809488,-26.75183209121281,232.2
115.66391297879696,-34.12846814382525,15.9
117.26226601644171,-32.995373442945656,6.0
115.8196474641502,-31.88564297421382,0.8
116.84262230561336,-30.71712660664486,23.6
148.04998820769706,-41.42525672191978,20.0
147.86719006330244,-33.42160669527886,1.3
151.15485209006226,-33.89154381615374,0.9
151.15090448320998,-33.734519737132494,1.0
151.24469354585142,-33.828883243769305,5.1
145.01811001385147,-37.94179463011516,0.4
144.4172004816011,-38.06901251384932,2.8
144.6259786868482,-37.69297937998015,0.3
145.033703531429,-37.85790162750572,0.1
142.5948587726405,-28.021280164076085,227.4
151.3069670053104,-24.176371747398523,6.7
150.19348818569244,-22.796190566245247,21.4
152.2405672095794,-27.64270517147548,0.2
149.52562195918844,-23.94374959486772,3.6
139.00162270943562,-34.621045137609855,12.6
135.34476980815614,-33.56150603276897,5.5
139.30175609327688,-35.15930358757162,4.9
138.71807607608218,-34.805223444345,2.3
115.9451687917668,-31.903796590222257,0.3
115.75923920677046,-30.021600483853696,23.1
117.1188598206058,-34.8904265504487,51.9
115.91253098098314,-33.101120638280754,1.6
116.32569887355297,-34.557113314469326,28.0
115.48427286800644,-29.158184896745507,15.1
117.97641789299703,-28.238051781175944,115.1
147.26104609925687,-42.71939097427372,1.3
146.64608241133877,-42.21231105869537,1.7
147.40053365180125,-42.43456251202669,27.6
145.356810259245,-29.910575707797623,60.8
147.10483391306795,-34.63252438115927,22.8
152.76893756421651,-30.68757334625497,13.2
143.8038939288612,-35.751506888172216,1.1
149.93869866446903,-24.93515566048509,18.0
143.66041593781966,-18.504609283459768,3.5
141.91978601202138,-12.141671791461752,515.3
138.78223343824914,-19.9538941550095,60.8
145.89718709555984,-16.994488111365342,11.7
138.59894930057507,-34.92204215560233,1.1
136.14380578487973,-33.00267617369307,53.6
130.96247330773346,-29.349827616936032,403.1
138.63935929272614,-32.520754657693814,44.8
140.81415043978234,-34.182224902452674,3.4
138.60406535500684,-34.95480159605197,2.6
115.09183192018816,-29.32602582820053,22.4
117.42546547433383,-30.59043198172858,75.8
115.82863599936172,-32.22768827908776,1.6
115.82932414711902,-32.04731491592836,0.6
147.02605813665866,-41.10215730971296,9.9
130.88702975701474,-12.398386240703855,1.0
150.72425200549057,-34.00887212038568,2.4
152.75110990572043,-29.681716718387623,12.3
146.57968968117905,-34.611271428492984,12.5
153.04630454373537,-29.059612616922543,0.3
149.45563921925657,-34.417731586575,3.7
145.25854993529944,-37.88897673658382,0.2
146.0759838028775,-38.62135631275007,6.6
153.03886532354895,-27.437887226746906,0.4
143.25957803999148,-14.23600624588343,249.0
150.33990873734416,-28.37367827069496,2.8
141.58697557719714,-20.533990550009268,21.8
142.4113004261701,-10.737698699216372,603.5
136.9644250952496,-33.53428477238662,23.3
140.02009145073973,-34.95048007556343,54.9
138.35651558655513,-33.99144066454556,8.8
115.91635803200712,-32.036865083931175,0.5
117.79903779764092,-32.358351380072975,34.1
117.15572053000008,-31.59956302123078,3.7
118.65385849345373,-32.04710018205685,34.6
127.051804389792,-15.5591456260891,122.8
146.18352160274935,-41.45393454528685,0.5
151.8990857185693,-30.36736280843321,12.5
153.03968018416282,-30.1889524748706,3.2
150.98650912029967,-33.842099574328856,0.0
145.06331773833315,-37.81933594735813,1.0
144.94891085314546,-37.729950734054725,1.2
148.41581820705986,-24.03143869719077,23.3
145.78820818603944,-20.148856468340856,11.9
145.77131244995613,-28.07295142291289,4.6
