Asset,Main Owner,Development Status,Province Name,Latitude,Longitude,Capacity (MW_ac),Closest ERA5 Land Latitude,Closest ERA5 Land Longitude,Operating since
Hepburn,Hepburn Community Wind Park,Operating,Victoria,-37.4272,144.1219,4.1,-37.5,144.0,2011
Chepstowe,BayWa re,Operating,Victoria,-37.5979,143.4937,6.15,-37.5,143.5,2015
Maroona,BayWa re,Operating,Victoria,-37.4208,142.8207,6.9,-37.5,142.75, 2018
Timboon West,Epic Energy,Operating,Victoria,-38.5305,142.9194,7.2,-38.5,143.0,2018
Yawong,Epic Energy,Operating,Victoria,-36.4799,143.3699,7.2,-36.5,143.25,2018
Ferguson,BayWa re,Operating,Victoria,-38.6157,143.1748,10.8,-38.5,143.25,2021
Wonthaggi,EDCL,Operating,Victoria,-38.602,145.5465,12.0,-38.5,145.5,2005
Codrington,Pacific Hydro,Operating,Victoria,-38.2861,141.9738,18.2,-38.25,142.0,2001
Mortons Lane,CGN Wind Energy,Operating,Victoria,-37.8245,142.4696,19.5,-37.75,142.5,2012
Coonooer Bridge,Windlab,Operating,Victoria,-36.4375,143.3591,19.8,-36.5,143.25,2016
Toora,Transfield Holdings,Operating,Victoria,-38.6535,146.3402,21.0,-38.75,146.25,2002
Cape Nelson North,Pacific Hydro,Operating,Victoria,-38.3692,141.5411,22.5,-38.25,141.5,2009
Cape Sir William Grant,Pacific Hydro,Operating,Victoria,-38.3905,141.5987,24.7,-38.5,141.5,2015
Yaloak South,Pacific Hydro,Operating,Victoria,-37.7154,144.2424,28.7,-37.75,144.25,2019
Yambuk,Pacific Hydro,Operating,Victoria,-38.3127,142.0175,30.0,-38.25,142.0,2007
Kiata,John Laing,Operating,Victoria,-36.4,141.76,31.5,-36.5,141.75,2017
Cape Nelson South,Pacific Hydro,Operating,Victoria,-38.4139,141.5266,44.0,-38.5,141.5,2009
Challicum Hills,Pacific Hydro,Operating,Victoria,-37.3897,143.114,52.5,-37.5,143.0,2003
Salt Creek,Tilt Renewables,Operating,Victoria,-37.9498,142.8062,54.0,-38.0,142.75,2019
Cherry Tree,John Laing,Operating,Victoria,-37.0851,145.2188,57.6,-37.0,145.25,2021
Cape Bridgewater,Pacific Hydro,Operating,Victoria,-38.3731,141.3804,59.0,-38.25,141.5,2008
Oaklands Hill,Challenger Life,Operating,Victoria,-37.6815,142.5524,63.0,-37.75,142.5,2010
Crowlands,Pacific Hydro,Operating,Victoria,-37.0735,143.1376,80.0,-37.0,143.25,2019
Lal Lal (Elaine),Northleaf Capital,Operating,Victoria,-37.7531,144.0132,83.59999,-37.75,144.0,2006
Bald Hills,Infrastructure Capital Group,Operating,Victoria,-38.7468,145.9491,109.0,-38.75,146.0,2015
Mount Mercer,Meridian Energy,Operating,Victoria,-37.8319,143.8884,131.0,-37.75,144.0,2014
Mt Gellibrand,Acciona,Operating,Victoria,-38.2336,143.7686,132.0,-38.25,143.75,2018
Lal Lal (Yendon),Northleaf Capital,Operating,Victoria,-37.6315,144.0311,144.0,-37.75,144.0,2006
Berrybank Stage 1,Naturgy,Operating,Victoria,-37.9007,143.5078,180.0,-38.0,143.5,2022
Waubra,Acciona,Operating,Victoria,-37.356,143.6059,192.0,-37.25,143.5,2009
Mortlake South,Acciona,Operating,Victoria,-38.1097,142.8016,157.5,-38.0,142.75,2024
Bulgana Green Power Hub (Wind),Neoen,Operating,Victoria,-37.0967,142.9743,194.0,-37.0,143.0,2021
Murrawarra Stage 1,Partners Group,Operating,Victoria,-36.4233,142.438,226.0,-36.5,142.5,2019
Ararat,OPTrust,Operating,Victoria,-37.2454,143.0426,240.0,-37.25,143.0,2017
Moorabool,Goldwind,Operating,Victoria,-37.7632,144.1512,312.0,-37.75,144.25,2021
Dundonnell,Tilt Renewables,Operating,Victoria,-37.8526,142.9595,336.0,-37.75,143.0,2020
Macarthur,Malakoff,Operating,Victoria,-38.0647,142.1843,420.0,-38.0,142.25,2013
