Asset,Main Owner,Development Status,Province Name,Latitude,Longitude,Capacity (MW_ac),Closest ERA5 Land Latitude,Closest ERA5 Land Longitude
Hampton,Wind Corporation,Operating,New South Wales,-33.638,150.0501,1.32,-33.75,150.0
Blayney,Tilt Renewables,Operating,New South Wales,-33.6235,149.2077,9.9,-33.5,149.25
Cullerin Range,EDCL,Operating,New South Wales,-34.8097,149.4007,30.0,-34.75,149.5
Gunning Wind,Acciona,Operating,New South Wales,-34.6972,149.385,46.5,-34.75,149.5
Woodlawn,Infigen Energy,Operating,New South Wales,-35.0803,149.5662,48.3,-35.0,149.5
Crookwell 2,Naturgy,Operating,New South Wales,-34.5541,149.5998,91.0,-34.5,149.5
Taralga,Pacific Hydro,Operating,New South Wales,-34.4222,149.864,107.0,-34.5,149.75
Biala,Beijing Jingneng Clean Energy,Operating,New South Wales,-34.5886,149.3559,108.5,-34.5,149.25
Boco Rock,EGCO,Operating,New South Wales,-36.5764,149.1268,113.0,-36.5,149.25
Bodangora,Infigen Energy,Operating,New South Wales,-32.431,149.031,113.2,-32.5,149.0
Crudine Ridge,Partners Group,Operating,New South Wales,-32.9885,149.621,135.0,-33.0,149.5
Capital,Infigen Energy,Operating,New South Wales,-35.1654,149.5185,140.7,-35.25,149.5
Gullen Range,Beijing Jingneng Clean Energy,Operating,New South Wales,-34.6144,149.4594,165.5,-34.5,149.5
White Rock Wind Farm Stage 1,CECEP Wind-Power Corporation,Operating,New South Wales,-29.7851,151.5479,175.0,-29.75,151.5
Silverton,Powering Australian Renewables,Operating,New South Wales,-31.82,141.2322,200.0,-31.75,141.25
Collector,RATCH Group,Operating,New South Wales,-34.8415,149.401,228.0,-34.75,149.5
Sapphire,Partners Group,Operating,New South Wales,-29.7417,151.4339,270.0,-29.75,151.5
Windy Hill,RATCH Group,Operating,Queensland,-17.5939,145.5299,12.0,-17.5,145.5
Kennedy Energy Park (Wind),Windlab,Operating,Queensland,-20.8707,144.333,43.2,-20.75,144.25
Mt Emerald,RATCH Group,Operating,Queensland,-17.1785,145.3891,180.5,-17.25,145.5
Coopers Gap,Powering Australian Renewables,Operating,Queensland,-26.7752,151.4607,453.0,-26.75,151.5
Coober Pedy Renewable Hybrid Project (Wind),EDCL,Operating,South Australia,-29.0227,134.769,4.0,-29.0,134.75
Starfish Hill,RATCH Group,Operating,South Australia,-35.5699,138.131,34.5,-35.25,138.25
Lake Bonney Wind Farm Stage 3,Infigen Energy,Operating,South Australia,-37.7381,140.3878,39.0,-37.75,140.5
Canunda,ENGIE,Operating,South Australia,-37.6686,140.3314,46.0,-37.75,140.25
Hallet 5 Wind Farm,Eurus Energy,Operating,South Australia,-33.3756,138.8023,52.5,-33.5,138.75
Clements Gap,Pacific Hydro,Operating,South Australia,-33.5129,138.1181,58.0,-33.5,138.0
Cathedral Rocks,EnergyAustralia,Operating,South Australia,-34.8505,135.5943,66.0,-34.75,135.5
Mt Millar,Meridian Energy,Operating,South Australia,-33.6255,136.7038,70.0,-33.75,136.75
Hallet 2 Wind Farm,Infrastructure Capital Group,Operating,South Australia,-33.5566,138.8626,71.0,-33.5,138.75
Lake Bonney Wind Farm Stage 1,Infigen Energy,Operating,South Australia,-37.7381,140.3878,80.5,-37.75,140.5
Lincoln Gap Stage 2,Nexif,Operating,South Australia,-32.5886,137.555,86.0,-32.5,137.5
Wattle Point,Infrastructure Capital Group,Operating,South Australia,-35.1287,137.6992,90.75,-34.75,137.75
Hallet 1 Wind Farm,Palisade,Operating,South Australia,-33.3555,138.7262,94.5,-33.25,138.75
Hornsdale Wind Farm Stage 1,Neoen,Operating,South Australia,-33.037,138.5553,100.0,-33.0,138.5
Snowtown Stage 1,Tilt Renewables,Operating,South Australia,-33.83,138.1187,101.0,-33.75,138.0
