Asset,Main Owner,Development Status,Province Name,Latitude,Longitude,Capacity (MW_ac)
Rangoon Energy Park North,Meridian Energy,Concept,New South Wales,-29.9455,151.6916,65.0
Rangoon Energy Park South,Meridian Energy,Concept,New South Wales,-29.9455,151.6916,65.0
Mumbil Wind Farm (Epuron),Epuron,Concept,New South Wales,-32.7167,149.05,100.0
Boco Rock Stage 2,CWP Renewables,Concept,New South Wales,-36.5764,149.127,106.0
Alectown Wind Farm,Neoen,Concept,New South Wales,-32.8806,148.4798,120.0
Elysian Wind Farm,Alinta Energy,Concept,New South Wales,-36.4412,149.4067,200.0
Doughboy Wind Farm,Epuron,Concept,New South Wales,-30.4131,152.1351,300.0
Burrawong Wind Farm,Windlab,Concept,New South Wales,-34.6167,143.5667,321.0
Barney's Reef Wind Farm,RES,Concept,New South Wales,-32.2269,149.5345,340.0
Thunderbolt Energy Hub (Wind),Neoen,Concept,New South Wales,-30.8018,151.2896,380.0
Jeremiah Wind Farm,CWP Renewables,Concept,New South Wales,-35.0154,148.4661,400.0
Spicers Creek Wind Farm,CWP Renewables,Concept,New South Wales,-32.3123,149.1606,400.0
Tara Springs Wind Farm,RES,Concept,New South Wales,-30.8043,151.3947,400.0
Project Neo (Wind),Infinite Blue Energy,Concept,New South Wales,-31.9492,150.8215,500.0
Kerrs Creek Wind Farm,RES,Concept,New South Wales,-33.046,149.0482,650.0
Winterbourne Wind Farm,Vestas,Concept,New South Wales,-30.9773,151.7106,700.0
Valley of the Winds,UPC Renewables,Concept,New South Wales,-31.8221,149.6116,800.0
Dinawan Energy Hub (Wind),Spark Renewables,Concept,New South Wales,-35.35,145.7333,833.33
Eden Offshore Wind Farm,Oceanex,Concept,New South Wales,-37.1191,150.1036,1800.0
Newcastle Offshore Wind Farm,Oceanex,Concept,New South Wales,-32.9253,152.1113,1800.0
Ulladulla Offshore Wind Farm,Oceanex,Concept,New South Wales,-35.4444,150.6904,1800.0
Illawarra Offshore Wind Farm,Oceanex,Concept,New South Wales,-34.4593,151.194,2000.0
Walcha Energy Project (Wind),Mirus Wind,Concept,New South Wales,-30.9773,151.7106,2700.0
Bango,Partners Group,Construction,New South Wales,-34.4995,148.7454,244.0
Rye Park,Tilt Renewables,Construction,New South Wales,-34.5261,148.9797,396.0
