Number;Asset;Main Owner;Development Status;Province Name;Latitude;Longitude;Capacity, MW_ac
1;Rangoon Energy Park North;Meridian Energy;Concept;New South Wales;-29,9455;151,6916;65
2;Rangoon Energy Park South;Meridian Energy;Concept;New South Wales;-29,9455;151,6916;65
3;Mumbil Wind Farm (Epuron);Epuron;Concept;New South Wales;-32,7167;149,05;100
4;Boco Rock Stage 2;CWP Renewables;Concept;New South Wales;-36,5764;149,127;106
5;Alectown Wind Farm;Neoen;Concept;New South Wales;-32,8806;148,4798;120
6;Elysian Wind Farm;Alinta Energy;Concept;New South Wales;-36,4412;149,4067;200
7;Doughboy Wind Farm;Epuron;Concept;New South Wales;-30,4131;152,1351;300
8;Burrawong Wind Farm;Windlab;Concept;New South Wales;-34,6167;143,5667;321
9;Barney's Reef Wind Farm;RES;Concept;New South Wales;-32,2269;149,5345;340
10;Thunderbolt Energy Hub (Wind);Neoen;Concept;New South Wales;-30,8018;151,2896;380
11;Jeremiah Wind Farm;CWP Renewables;Concept;New South Wales;-35,0154;148,4661;400
12;Spicers Creek Wind Farm;CWP Renewables;Concept;New South Wales;-32,3123;149,1606;400
13;Tara Springs Wind Farm;RES;Concept;New South Wales;-30,8043;151,3947;400
14;Project Neo (Wind);Infinite Blue Energy;Concept;New South Wales;-31,9492;150,8215;500
15;Kerrs Creek Wind Farm;RES;Concept;New South Wales;-33,046;149,0482;650
16;Winterbourne Wind Farm;Vestas;Concept;New South Wales;-30,9773;151,7106;700
17;Valley of the Winds;UPC Renewables;Concept;New South Wales;-31,8221;149,6116;800
18;Dinawan Energy Hub (Wind);Spark Renewables;Concept;New South Wales;-35,35;145,7333;833,33
19;Eden Offshore Wind Farm;Oceanex;Concept;New South Wales;-37,1191;150,1036;1800
20;Newcastle Offshore Wind Farm;Oceanex;Concept;New South Wales;-32,9253;152,1113;1800
21;Ulladulla Offshore Wind Farm;Oceanex;Concept;New South Wales;-35,4444;150,6904;1800
22;Illawarra Offshore Wind Farm;Oceanex;Concept;New South Wales;-34,4593;151,194;2000
23;Walcha Energy Project (Wind);Mirus Wind;Concept;New South Wales;-30,9773;151,7106;2700
24;Bango;Partners Group;Construction;New South Wales;-34,4995;148,7454;244
25;Rye Park;Tilt Renewables;Construction;New South Wales;-34,5261;148,9797;396
26;Bowman's Creek;Epuron;DA Application;New South Wales;-32,2667;150,9;336
27;Burrendong;Epuron;DA Application;New South Wales;-32,677;149,246;400
28;Hills of Gold;Wind Energy Partners;DA Application;New South Wales;-31,6276;151,1316;420
29;Black Springs;Wind Corporation;DA Approved;New South Wales;-33,8408;149,7103;18,9
30;Conroy's Gap;Epuron;DA Approved;New South Wales;-34,7695;148,7241;30
31;Crookwell 3;Naturgy;DA Approved;New South Wales;-34,5595;149,5602;58
32;Glen Innes;Nexif;DA Approved;New South Wales;-29,7314;151,6058;75
33;Upper Hunter Energy Park Stage 1 (Wind);Pamada;DA Approved;New South Wales;-32,0798;150,5689;100
34;Granite Hills;Akuo Energy;DA Approved;New South Wales;-36,5736;149,3824;120,75
35;Capital 2;Infigen Energy;DA Approved;New South Wales;-35,1654;149,5185;143,5
36;White Rock Wind Farm Stage 2;CECEP Wind-Power Corporation;DA Approved;New South Wales;-29,7851;151,5479;147,5
37;Flyers Creek;Infigen Energy;DA Approved;New South Wales;-33,5681;149,0628;155
38;Coppabella;Goldwind;DA Approved;New South Wales;-34,7709;148,6392;255
39;Uungula;CWP Renewables;DA Approved;New South Wales;-32,5856;149,157;400
40;Liverpool Range;Tilt Renewables;DA Approved;New South Wales;-31,8889;149,9304;1000
41;Hampton;Wind Corporation;Operating;New South Wales;-33,638;150,0501;1,32
42;Blayney;Tilt Renewables;Operating;New South Wales;-33,6235;149,2077;9,9
43;Cullerin Range;EDCL;Operating;New South Wales;-34,8097;149,4007;30
44;Gunning Wind;Acciona;Operating;New South Wales;-34,6972;149,385;46,5
45;Woodlawn;Infigen Energy;Operating;New South Wales;-35,0803;149,5662;48,3
46;Crookwell 2;Naturgy;Operating;New South Wales;-34,5541;149,5998;91
47;Taralga;Pacific Hydro;Operating;New South Wales;-34,4222;149,864;107
48;Biala;Beijing Jingneng Clean Energy;Operating;New South Wales;-34,5886;149,3559;108,5
49;Boco Rock;EGCO;Operating;New South Wales;-36,5764;149,1268;113
50;Bodangora;Infigen Energy;Operating;New South Wales;-32,431;149,031;113,2
51;Crudine Ridge;Partners Group;Operating;New South Wales;-32,9885;149,621;135
52;Capital;Infigen Energy;Operating;New South Wales;-35,1654;149,5185;140,7
53;Gullen Range;Beijing Jingneng Clean Energy;Operating;New South Wales;-34,6144;149,4594;165,5
54;White Rock Wind Farm Stage 1;CECEP Wind-Power Corporation;Operating;New South Wales;-29,7851;151,5479;175
55;Silverton;Powering Australian Renewables;Operating;New South Wales;-31,82;141,2322;200
56;Collector;RATCH Group;Operating;New South Wales;-34,8415;149,401;228
57;Sapphire;Partners Group;Operating;New South Wales;-29,7417;151,4339;270
58;High Road;RATCH Group;Concept;Queensland;-17,5628;145,3864;34
59;Archer Point Wind Farm;Wind Power Queensland;Concept;Queensland;-15,58;145,31;120
60;Diamondy;Yellow Solar;Concept;Queensland;-26,944;151,5565;130
61;Goomeri Wind Farm;Renewable Energy Partners;Concept;Queensland;-26,9334;151,6005;130
62;Kidston (Wind);Genex Power;Concept;Queensland;-18,8921;144,143;150
63;Desailly Renewable Energy Park (Wind);DP Energy;Concept;Queensland;-16,5192;145,1003;300
64;North Creek Wind Farm;Tilt Renewables;Concept;Queensland;-22,45;149,1226;330
65;Mt Fox Energy Park;Mount Fox Energy Park;Concept;Queensland;-18,8418;145,8048;342
66;Lotus Creek;Epuron;Concept;Queensland;-22,365;149,274;360
67;Razorback Wind Farm;Epuron;Concept;Queensland;-23,66;150,285;360
68;Specimen Hill Wind Farm;Epuron;Concept;Queensland;-24,245;150,79;360
69;Ravesnhoe;Epuron;Concept;Queensland;-17,813;145,463;400
70;Moah Creek Renewable Energy Project (Wind);RES;Concept;Queensland;-23,5757;150,1905;414
71;Eungella Wind Farm;Renewable Energy Partners;Concept;Queensland;-23,4397;144,886;500
72;Urannah Renewable Energy Hub (Wind);Renewable Energy Partners;Concept;Queensland;-20,9426;148,3493;500
73;Chalumbin Wind Farm;Epuron;Concept;Queensland;-17,813;145,463;665
74;Kennedy Energy Park Phase II (Wind);Windlab;Concept;Queensland;-20,8707;144,333;900
75;Central Queensland Power Project (Wind);RES;Concept;Queensland;-23,8489;151,2625;1000
76;Mount James Wind Farm;NQREZ;Concept;Queensland;-20,8438;144,1986;1000
77;Kaban Green Power Hub (Wind);Neoen;Construction;Queensland;-17,5598;145,414;157
78;Dulacca Renewable Energy Project (Wind);RES;Construction;Queensland;-26,6406;149,8004;180
79;Upper Burdekin Wind Farm;Windlab;DA Application;Queensland;-18,64;145,8842;600
80;Mannuem Wind Farm;Australian Energy Wind Farm;DA Approved;Queensland;-26,5333;151,8333;64
81;Forsayth;Iberdrola;DA Approved;Queensland;-18,7139;143,9788;70
82;Lakeland (Wind);Windlab;DA Approved;Queensland;-15,8329;144,8427;100
83;MacIntyre Wind Farm (CleanCo);CleanCo;DA Approved;Queensland;-28,2152;152,0352;103
84;Banana Range Wind Farm;Lacour Energy;DA Approved;Queensland;-24,4027;150,3014;180
85;Clarke Creek (Lacour) (Wind) Phase-2;Lacour Energy;DA Approved;Queensland;-22,6062;149,7687;350
86;Clarke Creek (Lacour) (Wind) Phase-1;Lacour Energy;DA Approved;Queensland;-22,6062;149,7687;450
87;Wambo Wind Farm;Cubico Sustainable Investments;DA Approved;Queensland;-26,9334;151,6005;500
88;MacIntyre Wind Farm;Acciona;DA Approved;Queensland;-28,2152;152,0352;1026
89;Wide Bay Wind Farm;Forest Wind Holidings;DA Approved;Queensland;-25,8463;152,7257;1200
90;Windy Hill;RATCH Group;Operating;Queensland;-17,5939;145,5299;12
91;Kennedy Energy Park (Wind);Windlab;Operating;Queensland;-20,8707;144,333;43,2
92;Mt Emerald;RATCH Group;Operating;Queensland;-17,1785;145,3891;180,5
93;Coopers Gap;Powering Australian Renewables;Operating;Queensland;-26,7752;151,4607;453
94;Exmoor Wind Farm;Acciona;Concept;South Australia;-36,8193;140,7179;144
95;Lake Hawdon Wind Farm;Wind Power Australia;Concept;South Australia;-37,2174;139,9263;250
96;Carmody's Hill;Pacific Hydro;Concept;South Australia;-33,36;138,483;270
97;Keilira Wind Farm;Wind Power Australia;Concept;South Australia;-36,6904;140,1485;300
98;South Australia Offshore Wind Farm;Australis Energy;Concept;South Australia;-38,0986;140,4936;600
99;Port Augusta Renewable Energy Park (Wind);Iberdrola;Construction;South Australia;-32,5478;137,8565;210
100;Lincoln Gap Stage-3;Nexif;DA Application;South Australia;-32,5886;137,555;252
101;Goyder South Stage-2 (Wind);Neoen;DA Application;South Australia;-33,727;138,9741;400
102;Goyder South Stage-3 (Wind);Neoen;DA Application;South Australia;-33,727;138,9741;400
103;Stony Gap;Palisade;DA Approved;South Australia;-33,7308;138,917;105
104;Barn Hill Wind Farm;AGL Energy;DA Approved;South Australia;-33,5913;138,2802;124
105;Crystal Brook Energy Park (Wind);Neoen;DA Approved;South Australia;-33,302;138,2186;125
106;Mt Benson;Infigen Energy;DA Approved;South Australia;-36,9816;139,7543;150
107;Twin Creek;RES;DA Approved;South Australia;-33,712;139,1737;185
108;Woakwine;Infigen Energy;DA Approved;South Australia;-37,5715;140,211;300
109;Palmer;Tilt Renewables;DA Approved;South Australia;-34,6943;139,214;375
110;Goyder South Stage-1 (Wind);Neoen;DA Approved;South Australia;-33,727;138,9741;400
111;Yorke Peninsula Wind Farm;Senvion;DA Approved;South Australia;-34,6079;137,6868;630
112;Coober Pedy Renewable Hybrid Project (Wind);EDCL;Operating;South Australia;-29,0227;134,769;4
113;Starfish Hill;RATCH Group;Operating;South Australia;-35,5699;138,131;34,5
114;Lake Bonney Wind Farm Stage 3;Infigen Energy;Operating;South Australia;-37,7381;140,3878;39
115;Canunda;ENGIE;Operating;South Australia;-37,6686;140,3314;46
116;Hallet 5 Wind Farm;Eurus Energy;Operating;South Australia;-33,3756;138,8023;52,5
